customer_id,Recency,Frequency,Monetary,R,F,M,RFM_score,Segment,Cluster_Label,gender,age,age_group,city,loyalty_tier,tenure_hari
CUST-000035,361,4,541200.0,1,2,1,4,Lost,Inactive / Churned,Unknown,38,Gen X (35–44),Jakarta,Bronze,612
CUST-000036,11,57,21338900.0,5,5,5,15,Champions,VIP — High Spender,Female,31,Millennial (25–34),Bali,Gold,1250
CUST-000037,117,4,1192100.0,3,2,2,7,About to Sleep,Occasional Buyer,Male,46,Baby Boomer (45–54),Makassar,Bronze,1146
CUST-000038,148,9,5261100.0,2,4,4,10,Cannot Lose Them,Occasional Buyer,Male,25,Millennial (25–34),Makassar,Silver,765
CUST-000039,71,8,1730700.0,3,4,3,10,Potential Loyalists,Occasional Buyer,Female,32,Millennial (25–34),Depok,Bronze,629
CUST-000040,66,19,7717000.0,4,5,5,14,Champions,Occasional Buyer,Male,26,Millennial (25–34),Jakarta,Silver,568
CUST-000041,21,5,1551100.0,5,3,2,10,About to Sleep,Occasional Buyer,Male,36,Gen X (35–44),Jakarta,Bronze,699
CUST-000042,40,7,2034000.0,4,4,3,11,Potential Loyalists,Occasional Buyer,Female,25,Millennial (25–34),Bandung,Bronze,596
CUST-000043,101,1,301900.0,3,1,1,5,About to Sleep,Occasional Buyer,Male,30,Millennial (25–34),Bogor,Bronze,1128
CUST-000044,279,5,764600.0,1,3,1,5,At Risk,Inactive / Churned,Female,18,Gen Z (18–24),Yogyakarta,Bronze,685
CUST-000045,91,5,1026800.0,3,3,2,8,Needs Attention,Occasional Buyer,Male,36,Gen X (35–44),Palembang,Bronze,895
CUST-000046,162,4,720000.0,2,2,1,5,Hibernating,Inactive / Churned,Female,18,Gen Z (18–24),Bandung,Bronze,454
CUST-000047,154,9,3829000.0,2,4,4,10,Cannot Lose Them,Occasional Buyer,Male,23,Gen Z (18–24),Makassar,Silver,724
CUST-000048,151,3,815200.0,2,1,2,5,Hibernating,Inactive / Churned,Female,42,Gen X (35–44),Surabaya,Bronze,790
CUST-000049,172,3,2743300.0,2,1,3,6,Hibernating,Inactive / Churned,Female,42,Gen X (35–44),Palembang,Bronze,757
CUST-000050,4,97,44589600.0,5,5,5,15,Champions,VIP — High Spender,Male,35,Gen X (35–44),Bandung,Gold,529
CUST-000051,93,4,874700.0,3,2,2,7,About to Sleep,Occasional Buyer,Unknown,34,Millennial (25–34),Jakarta,Bronze,1267
CUST-000052,71,4,518200.0,3,2,1,6,About to Sleep,Inactive / Churned,Female,27,Millennial (25–34),Jakarta,Bronze,503
CUST-000053,510,3,1857200.0,1,1,3,5,Lost,Occasional Buyer,Female,25,Millennial (25–34),Semarang,Bronze,1251
CUST-000054,232,3,3187800.0,2,1,4,7,Hibernating,Inactive / Churned,Female,28,Millennial (25–34),Depok,Bronze,753
CUST-000055,7,7,7472600.0,5,4,5,14,Champions,Occasional Buyer,Female,18,Gen Z (18–24),Jakarta,Gold,825
CUST-000056,61,4,895000.0,4,2,2,8,New Customers,Occasional Buyer,Female,34,Millennial (25–34),Bekasi,Bronze,944
CUST-000057,32,11,2375300.0,4,4,3,11,Potential Loyalists,Occasional Buyer,Male,32,Millennial (25–34),Bekasi,Silver,1162
CUST-000058,274,4,2346700.0,1,2,3,6,Lost,Occasional Buyer,Male,23,Gen Z (18–24),Depok,Bronze,1166
CUST-000059,662,2,444700.0,1,1,1,3,Lost,Inactive / Churned,Male,46,Baby Boomer (45–54),Palembang,Bronze,610
CUST-000060,45,10,3605300.0,4,4,4,12,Champions,Occasional Buyer,Male,37,Gen X (35–44),Surabaya,Silver,1175
CUST-000061,43,4,844900.0,4,2,2,8,New Customers,Inactive / Churned,Male,38,Gen X (35–44),Bali,Silver,659
CUST-000062,65,5,3351500.0,4,3,4,11,Loyal Customers,Occasional Buyer,Male,27,Millennial (25–34),Surabaya,Silver,386
CUST-000063,161,5,2104600.0,2,3,3,8,At Risk,Inactive / Churned,Female,31,Millennial (25–34),Jakarta,Bronze,664
CUST-000064,28,31,9433800.0,4,5,5,14,Champions,VIP — High Spender,Male,37,Gen X (35–44),Semarang,Platinum,1210
CUST-000065,42,5,2474600.0,4,3,3,10,Potential Loyalists,Occasional Buyer,Male,33,Millennial (25–34),Bandung,Bronze,790
CUST-000066,8,15,6975600.0,5,5,5,15,Champions,Occasional Buyer,Female,46,Baby Boomer (45–54),Jakarta,Silver,527
CUST-000067,12,16,3823600.0,5,5,4,14,Champions,Occasional Buyer,Male,32,Millennial (25–34),Medan,Silver,418
CUST-000068,49,3,668200.0,4,1,1,6,New Customers,Inactive / Churned,Female,27,Millennial (25–34),Jakarta,Bronze,623
CUST-000069,71,8,5545800.0,3,4,4,11,Loyal Customers,Occasional Buyer,Female,37,Gen X (35–44),Malang,Bronze,999
CUST-000070,539,3,1508400.0,1,1,2,4,Lost,Occasional Buyer,Unknown,20,Gen Z (18–24),Medan,Bronze,1051
CUST-000071,19,45,19418100.0,5,5,5,15,Champions,VIP — High Spender,Female,40,Gen X (35–44),Medan,Platinum,572
CUST-000072,15,28,9125100.0,5,5,5,15,Champions,VIP — High Spender,Male,20,Gen Z (18–24),Bandung,Gold,593
CUST-000073,27,5,2542800.0,4,3,3,10,Potential Loyalists,Occasional Buyer,Male,37,Gen X (35–44),Bekasi,Bronze,840
CUST-000074,12,7,2273700.0,5,4,3,12,Potential Loyalists,Occasional Buyer,Female,26,Millennial (25–34),Surabaya,Bronze,1199
CUST-000075,19,17,8695700.0,5,5,5,15,Champions,Occasional Buyer,Female,36,Gen X (35–44),Jakarta,Bronze,673
CUST-000076,211,3,879100.0,2,1,2,5,Hibernating,Inactive / Churned,Female,40,Gen X (35–44),Medan,Gold,746
CUST-000077,281,4,3321000.0,1,2,4,7,Lost,Occasional Buyer,Female,33,Millennial (25–34),Bali,Bronze,1267
CUST-000078,17,19,7893100.0,5,5,5,15,Champions,VIP — High Spender,Male,21,Gen Z (18–24),Surabaya,Bronze,699
CUST-000079,4,23,7833600.0,5,5,5,15,Champions,VIP — High Spender,Male,23,Gen Z (18–24),Surabaya,Silver,1158
CUST-000080,9,55,28790700.0,5,5,5,15,Champions,VIP — High Spender,Male,25,Millennial (25–34),Depok,Gold,534
CUST-000081,40,16,10068000.0,4,5,5,14,Champions,Occasional Buyer,Female,18,Gen Z (18–24),Tangerang,Silver,671
CUST-000082,188,5,1281100.0,2,3,2,7,At Risk,Occasional Buyer,Female,42,Gen X (35–44),Bandung,Bronze,1231
CUST-000083,67,3,424600.0,3,1,1,5,About to Sleep,Inactive / Churned,Male,32,Millennial (25–34),Bekasi,Gold,799
CUST-000084,97,3,426100.0,3,1,1,5,About to Sleep,Inactive / Churned,Male,21,Gen Z (18–24),Jakarta,Bronze,553
CUST-000085,71,2,3023500.0,3,1,4,8,About to Sleep,Inactive / Churned,Male,45,Baby Boomer (45–54),Bandung,Silver,531
CUST-000086,19,4,846000.0,5,2,2,9,New Customers,Occasional Buyer,Male,25,Millennial (25–34),Bandung,Bronze,1201
CUST-000087,374,5,2600700.0,1,3,3,7,At Risk,Occasional Buyer,Female,34,Millennial (25–34),Surabaya,Silver,1206
CUST-000088,396,4,2050100.0,1,2,3,6,Lost,Inactive / Churned,Female,24,Gen Z (18–24),Jakarta,Bronze,580
CUST-000089,314,3,951300.0,1,1,2,4,Lost,Occasional Buyer,Female,18,Gen Z (18–24),Surabaya,Bronze,1068
CUST-000090,12,16,10284100.0,5,5,5,15,Champions,VIP — High Spender,Male,19,Gen Z (18–24),Jakarta,Silver,743
CUST-000091,341,3,438100.0,1,1,1,3,Lost,Inactive / Churned,Male,27,Millennial (25–34),Depok,Gold,730
CUST-000092,113,12,2344500.0,3,4,3,10,Potential Loyalists,Occasional Buyer,Female,40,Gen X (35–44),Palembang,Gold,711
CUST-000093,41,9,4640900.0,4,4,4,12,Champions,Occasional Buyer,Female,35,Gen X (35–44),Medan,Bronze,973
CUST-000094,62,19,4448400.0,4,5,4,13,Champions,Occasional Buyer,Female,33,Millennial (25–34),Surabaya,Gold,1242
CUST-000095,48,5,2602800.0,4,3,3,10,Potential Loyalists,Occasional Buyer,Female,18,Gen Z (18–24),Bandung,Silver,794
CUST-000096,24,4,943600.0,5,2,2,9,New Customers,Occasional Buyer,Female,43,Gen X (35–44),Bali,Bronze,814
CUST-000097,60,14,11544800.0,4,4,5,13,Champions,VIP — High Spender,Female,34,Millennial (25–34),Semarang,Silver,888
CUST-000098,33,5,3009800.0,4,3,4,11,Loyal Customers,Occasional Buyer,Male,30,Millennial (25–34),Depok,Bronze,1026
CUST-000099,79,4,3085500.0,3,2,4,9,Potential Loyalists,Occasional Buyer,Male,42,Gen X (35–44),Surabaya,Bronze,519
CUST-000100,48,5,403700.0,4,3,1,8,About to Sleep,Occasional Buyer,Male,43,Gen X (35–44),Jakarta,Gold,944
CUST-000101,359,5,4719200.0,1,3,4,8,At Risk,Occasional Buyer,Male,42,Gen X (35–44),Jakarta,Bronze,1163
CUST-000102,125,4,2088600.0,3,2,3,8,Potential Loyalists,Inactive / Churned,Female,29,Millennial (25–34),Medan,Bronze,595
CUST-000103,2,139,68459800.0,5,5,5,15,Champions,VIP — High Spender,Male,22,Gen Z (18–24),Depok,Platinum,705
CUST-000104,47,5,3067600.0,4,3,4,11,Loyal Customers,Occasional Buyer,Female,40,Gen X (35–44),Tangerang,Bronze,999
CUST-000105,280,3,1200400.0,1,1,2,4,Lost,Occasional Buyer,Female,19,Gen Z (18–24),Depok,Bronze,1141
CUST-000106,550,4,1062800.0,1,2,2,5,Lost,Inactive / Churned,Male,49,Baby Boomer (45–54),Bali,Gold,882
CUST-000107,15,55,17419600.0,5,5,5,15,Champions,VIP — High Spender,Male,32,Millennial (25–34),Jakarta,Gold,1218
CUST-000108,860,2,263500.0,1,1,1,3,Lost,Occasional Buyer,Female,22,Gen Z (18–24),Yogyakarta,Silver,1077
CUST-000109,410,4,813700.0,1,2,2,5,Lost,Inactive / Churned,Male,20,Gen Z (18–24),Palembang,Silver,410
CUST-000110,223,5,1640900.0,2,3,3,8,At Risk,Occasional Buyer,Male,20,Gen Z (18–24),Jakarta,Gold,1142
CUST-000111,270,5,1939200.0,2,3,3,8,At Risk,Occasional Buyer,Male,33,Millennial (25–34),Palembang,Silver,1030
CUST-000112,28,39,21583500.0,4,5,5,14,Champions,VIP — High Spender,Male,31,Millennial (25–34),Medan,Platinum,1152
CUST-000113,45,12,7272800.0,4,4,5,13,Champions,Occasional Buyer,Female,20,Gen Z (18–24),Bandung,Bronze,457
CUST-000114,114,2,251500.0,3,1,1,5,About to Sleep,Inactive / Churned,Female,28,Millennial (25–34),Surabaya,Bronze,445
CUST-000115,121,4,1159200.0,3,2,2,7,About to Sleep,Occasional Buyer,Female,19,Gen Z (18–24),Medan,Bronze,1224
CUST-000116,419,4,1635000.0,1,2,3,6,Lost,Inactive / Churned,Female,37,Gen X (35–44),Surabaya,Bronze,469
CUST-000117,181,6,3147900.0,2,4,4,10,Cannot Lose Them,Occasional Buyer,Female,31,Millennial (25–34),Jakarta,Gold,1149
CUST-000118,17,5,1085700.0,5,3,2,10,About to Sleep,Occasional Buyer,Male,28,Millennial (25–34),Yogyakarta,Bronze,920
CUST-000119,20,33,11384500.0,5,5,5,15,Champions,VIP — High Spender,Female,20,Gen Z (18–24),Semarang,Silver,750
CUST-000120,456,2,1744400.0,1,1,3,5,Lost,Inactive / Churned,Female,29,Millennial (25–34),Bandung,Bronze,861
CUST-000121,276,4,971800.0,1,2,2,5,Lost,Occasional Buyer,Female,28,Millennial (25–34),Medan,Bronze,1155
CUST-000122,139,8,4927200.0,2,4,4,10,Cannot Lose Them,Occasional Buyer,Female,34,Millennial (25–34),Yogyakarta,Bronze,565
CUST-000123,77,27,17759100.0,3,5,5,13,Loyal Customers,VIP — High Spender,Male,32,Millennial (25–34),Surabaya,Gold,659
CUST-000124,266,5,2762300.0,2,3,3,8,At Risk,Inactive / Churned,Female,39,Gen X (35–44),Bandung,Bronze,430
CUST-000125,35,12,3832500.0,4,4,4,12,Champions,Occasional Buyer,Male,27,Millennial (25–34),Tangerang,Silver,960
CUST-000126,247,2,739900.0,2,1,1,4,Hibernating,Inactive / Churned,Male,18,Gen Z (18–24),Jakarta,Silver,890
CUST-000127,182,4,1685000.0,2,2,3,7,Hibernating,Occasional Buyer,Female,40,Gen X (35–44),Palembang,Bronze,963
CUST-000128,230,4,894600.0,2,2,2,6,Hibernating,Occasional Buyer,Female,23,Gen Z (18–24),Bandung,Bronze,1221
CUST-000129,220,4,3048500.0,2,2,4,8,Hibernating,Occasional Buyer,Male,22,Gen Z (18–24),Medan,Bronze,1228
CUST-000130,328,4,2271300.0,1,2,3,6,Lost,Inactive / Churned,Female,31,Millennial (25–34),Tangerang,Bronze,592
CUST-000131,256,7,2353600.0,2,4,3,9,At Risk,Occasional Buyer,Male,34,Millennial (25–34),Bogor,Bronze,1021
CUST-000132,494,3,3965700.0,1,1,4,6,Lost,Inactive / Churned,Male,27,Millennial (25–34),Bekasi,Silver,839
CUST-000133,553,4,3840300.0,1,2,4,7,Lost,Inactive / Churned,Male,27,Millennial (25–34),Jakarta,Bronze,396
CUST-000134,46,5,1470200.0,4,3,2,9,About to Sleep,Occasional Buyer,Female,28,Millennial (25–34),Jakarta,Bronze,1262
CUST-000135,569,4,1990000.0,1,2,3,6,Lost,Inactive / Churned,Female,44,Gen X (35–44),Bandung,Bronze,812
CUST-000136,36,4,2938700.0,4,2,3,9,New Customers,Occasional Buyer,Male,31,Millennial (25–34),Depok,Bronze,811
CUST-000137,51,5,1367900.0,4,3,2,9,About to Sleep,Occasional Buyer,Female,23,Gen Z (18–24),Medan,Bronze,379
CUST-000138,34,19,9360300.0,4,5,5,14,Champions,Occasional Buyer,Female,23,Gen Z (18–24),Balikpapan,Gold,527
CUST-000139,50,5,2963300.0,4,3,4,11,Loyal Customers,Occasional Buyer,Male,29,Millennial (25–34),Jakarta,Bronze,1217
CUST-000140,297,5,1758300.0,1,3,3,7,At Risk,Occasional Buyer,Female,34,Millennial (25–34),Surabaya,Bronze,1136
CUST-000141,168,3,400200.0,2,1,1,4,Hibernating,Occasional Buyer,Female,36,Gen X (35–44),Jakarta,Bronze,1247
CUST-000142,189,4,864700.0,2,2,2,6,Hibernating,Occasional Buyer,Male,33,Millennial (25–34),Tangerang,Silver,1100
CUST-000143,116,5,1823800.0,3,3,3,9,Potential Loyalists,Occasional Buyer,Female,24,Gen Z (18–24),Medan,Bronze,1086
CUST-000144,73,4,2014000.0,3,2,3,8,Potential Loyalists,Occasional Buyer,Male,28,Millennial (25–34),Jakarta,Bronze,1197
CUST-000145,56,18,7202500.0,4,5,5,14,Champions,Occasional Buyer,Male,38,Gen X (35–44),Tangerang,Platinum,803
CUST-000146,4,18,11779000.0,5,5,5,15,Champions,VIP — High Spender,Male,21,Gen Z (18–24),Bandung,Silver,400
CUST-000147,7,4,839900.0,5,2,2,9,New Customers,Occasional Buyer,Female,27,Millennial (25–34),Surabaya,Silver,554
CUST-000148,21,47,26256700.0,5,5,5,15,Champions,VIP — High Spender,Female,37,Gen X (35–44),Jakarta,Gold,1094
CUST-000149,236,4,1084500.0,2,2,2,6,Hibernating,Inactive / Churned,Male,39,Gen X (35–44),Malang,Bronze,573
CUST-000150,350,4,795600.0,1,2,1,4,Lost,Inactive / Churned,Male,30,Millennial (25–34),Malang,Gold,393
CUST-000151,26,23,9049100.0,4,5,5,14,Champions,Occasional Buyer,Female,28,Millennial (25–34),Jakarta,Silver,526
CUST-000152,2,5,3642300.0,5,3,4,12,Loyal Customers,Occasional Buyer,Male,20,Gen Z (18–24),Surabaya,Bronze,856
CUST-000153,87,5,2955800.0,3,3,4,10,Loyal Customers,Occasional Buyer,Male,36,Gen X (35–44),Palembang,Bronze,1035
CUST-000154,36,9,3256900.0,4,4,4,12,Champions,Occasional Buyer,Female,43,Gen X (35–44),Palembang,Silver,604
CUST-000155,286,5,3450100.0,1,3,4,8,At Risk,Inactive / Churned,Unknown,32,Millennial (25–34),Bandung,Bronze,570
CUST-000156,215,3,1029600.0,2,1,2,5,Hibernating,Occasional Buyer,Male,35,Gen X (35–44),Makassar,Bronze,1010
CUST-000157,12,4,2652100.0,5,2,3,10,New Customers,Occasional Buyer,Female,31,Millennial (25–34),Depok,Gold,1076
CUST-000158,61,4,1591700.0,4,2,2,8,New Customers,Occasional Buyer,Female,23,Gen Z (18–24),Malang,Bronze,673
CUST-000159,25,9,5832100.0,4,4,4,12,Champions,Occasional Buyer,Female,18,Gen Z (18–24),Depok,Bronze,478
CUST-000160,65,12,6543600.0,4,4,4,12,Champions,Occasional Buyer,Female,33,Millennial (25–34),Jakarta,Silver,1259
CUST-000161,140,19,8847600.0,2,5,5,12,Cannot Lose Them,Occasional Buyer,Male,53,Baby Boomer (45–54),Depok,Silver,389
CUST-000162,232,12,4907800.0,2,4,4,10,Cannot Lose Them,Occasional Buyer,Female,43,Gen X (35–44),Jakarta,Platinum,1105
CUST-000163,133,9,4990500.0,3,4,4,11,Loyal Customers,Occasional Buyer,Female,42,Gen X (35–44),Medan,Silver,963
CUST-000164,5,10,4626400.0,5,4,4,13,Champions,VIP — High Spender,Female,34,Millennial (25–34),Makassar,Silver,1230
CUST-000165,52,5,2028800.0,4,3,3,10,Potential Loyalists,Occasional Buyer,Male,35,Gen X (35–44),Tangerang,Silver,1228
CUST-000166,47,29,7401600.0,4,5,5,14,Champions,VIP — High Spender,Female,18,Gen Z (18–24),Jakarta,Platinum,1032
CUST-000167,47,3,657600.0,4,1,1,6,New Customers,Inactive / Churned,Male,38,Gen X (35–44),Yogyakarta,Bronze,769
CUST-000168,10,33,17996400.0,5,5,5,15,Champions,VIP — High Spender,Male,26,Millennial (25–34),Palembang,Gold,467
CUST-000169,767,2,271900.0,1,1,1,3,Lost,Occasional Buyer,Male,25,Millennial (25–34),Jakarta,Bronze,1215
CUST-000170,249,2,663700.0,2,1,1,4,Hibernating,Inactive / Churned,Female,29,Millennial (25–34),Jakarta,Silver,786
CUST-000171,678,3,589700.0,1,1,1,3,Lost,Inactive / Churned,Female,28,Millennial (25–34),Jakarta,Silver,903
CUST-000172,163,5,1731400.0,2,3,3,8,At Risk,Inactive / Churned,Male,25,Millennial (25–34),Tangerang,Silver,387
CUST-000173,586,2,113100.0,1,1,1,3,Lost,Occasional Buyer,Female,32,Millennial (25–34),Jakarta,Bronze,1109
CUST-000174,19,4,2611000.0,5,2,3,10,New Customers,Occasional Buyer,Male,26,Millennial (25–34),Jakarta,Silver,945
CUST-000175,15,41,18617900.0,5,5,5,15,Champions,VIP — High Spender,Female,32,Millennial (25–34),Jakarta,Silver,1247
CUST-000176,3,42,15748500.0,5,5,5,15,Champions,VIP — High Spender,Male,18,Gen Z (18–24),Makassar,Gold,455
CUST-000177,29,74,33182900.0,4,5,5,14,Champions,VIP — High Spender,Female,30,Millennial (25–34),Medan,Gold,717
CUST-000178,125,3,539500.0,3,1,1,5,About to Sleep,Inactive / Churned,Male,22,Gen Z (18–24),Surabaya,Bronze,748
CUST-000179,371,3,827700.0,1,1,2,4,Lost,Occasional Buyer,Female,32,Millennial (25–34),Malang,Silver,1234
CUST-000180,131,38,16977000.0,3,5,5,13,Loyal Customers,VIP — High Spender,Male,33,Millennial (25–34),Yogyakarta,Silver,1188
CUST-000181,89,5,1541400.0,3,3,2,8,Needs Attention,Inactive / Churned,Male,18,Gen Z (18–24),Surabaya,Bronze,566
CUST-000182,55,5,823700.0,4,3,2,9,About to Sleep,Inactive / Churned,Male,24,Gen Z (18–24),Medan,Bronze,783
CUST-000183,74,5,2845100.0,3,3,3,9,Potential Loyalists,Occasional Buyer,Female,37,Gen X (35–44),Jakarta,Bronze,1098
CUST-000184,15,5,612600.0,5,3,1,9,About to Sleep,Occasional Buyer,Female,19,Gen Z (18–24),Tangerang,Bronze,783
CUST-000185,84,4,4119900.0,3,2,4,9,Potential Loyalists,Occasional Buyer,Male,48,Baby Boomer (45–54),Bandung,Bronze,406
CUST-000186,33,4,2973400.0,4,2,4,10,New Customers,Occasional Buyer,Female,42,Gen X (35–44),Makassar,Bronze,1184
CUST-000187,217,3,497000.0,2,1,1,4,Hibernating,Inactive / Churned,Female,27,Millennial (25–34),Bandung,Bronze,404
CUST-000188,56,6,1953800.0,4,4,3,11,Potential Loyalists,Occasional Buyer,Female,24,Gen Z (18–24),Tangerang,Gold,580
CUST-000189,38,5,1693000.0,4,3,3,10,Potential Loyalists,Occasional Buyer,Female,33,Millennial (25–34),Makassar,Bronze,1148
CUST-000190,199,3,810100.0,2,1,2,5,Hibernating,Inactive / Churned,Male,18,Gen Z (18–24),Bekasi,Bronze,544
CUST-000191,70,15,6819000.0,3,5,5,13,Loyal Customers,Occasional Buyer,Female,18,Gen Z (18–24),Jakarta,Silver,608
CUST-000192,196,7,1359100.0,2,4,2,8,At Risk,Inactive / Churned,Female,27,Millennial (25–34),Balikpapan,Bronze,761
CUST-000193,164,3,403300.0,2,1,1,4,Hibernating,Inactive / Churned,Female,30,Millennial (25–34),Bekasi,Bronze,581
CUST-000194,17,172,66482600.0,5,5,5,15,Champions,VIP — High Spender,Female,32,Millennial (25–34),Bekasi,Platinum,1150
CUST-000195,385,3,853000.0,1,1,2,4,Lost,Inactive / Churned,Male,26,Millennial (25–34),Jakarta,Bronze,628
CUST-000196,79,5,2492100.0,3,3,3,9,Potential Loyalists,Occasional Buyer,Male,43,Gen X (35–44),Surabaya,Bronze,701
CUST-000197,19,4,1790900.0,5,2,3,10,New Customers,Occasional Buyer,Female,18,Gen Z (18–24),Bogor,Silver,1021
CUST-000198,9,9,3194400.0,5,4,4,13,Champions,Occasional Buyer,Female,21,Gen Z (18–24),Malang,Bronze,656
CUST-000199,113,4,4752200.0,3,2,4,9,Potential Loyalists,Occasional Buyer,Female,36,Gen X (35–44),Surabaya,Gold,667
CUST-000200,37,5,2922300.0,4,3,3,10,Potential Loyalists,Occasional Buyer,Female,21,Gen Z (18–24),Bandung,Bronze,1062
CUST-000201,21,4,746300.0,5,2,1,8,New Customers,Occasional Buyer,Female,21,Gen Z (18–24),Jakarta,Bronze,1145
CUST-000202,155,7,1650600.0,2,4,3,9,At Risk,Occasional Buyer,Male,33,Millennial (25–34),Surabaya,Silver,951
CUST-000203,39,43,21374900.0,4,5,5,14,Champions,VIP — High Spender,Male,22,Gen Z (18–24),Jakarta,Gold,918
CUST-000204,80,9,3511800.0,3,4,4,11,Loyal Customers,Occasional Buyer,Female,30,Millennial (25–34),Jakarta,Silver,536
CUST-000205,53,4,1406900.0,4,2,2,8,New Customers,Occasional Buyer,Female,25,Millennial (25–34),Makassar,Bronze,885
CUST-000206,35,9,7018800.0,4,4,5,13,Champions,Occasional Buyer,Male,24,Gen Z (18–24),Surabaya,Bronze,615
CUST-000207,108,4,2007100.0,3,2,3,8,Potential Loyalists,Occasional Buyer,Male,18,Gen Z (18–24),Bogor,Bronze,861
CUST-000208,16,7,3747200.0,5,4,4,13,Champions,Occasional Buyer,Female,33,Millennial (25–34),Medan,Silver,1217
CUST-000209,74,4,4466700.0,3,2,4,9,Potential Loyalists,Occasional Buyer,Male,20,Gen Z (18–24),Bandung,Bronze,690
